epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,100.774,1.26328,3.66595,1.695,0.10602,0.88095,0.53736,0.29441,0.89298,3.8751,1.43904,0.000244682,0.000244682,0.000244682
2,216.835,1.10332,3.48172,1.56183,0.07531,0.85714,0.65098,0.34615,1.19455,3.83256,1.62907,0.000491095,0.000491095,0.000491095
3,329.323,1.12696,3.26881,1.53495,0.07039,0.80952,0.65512,0.37551,1.07424,3.71941,1.59277,0.000727357,0.000727357,0.000727357
4,434.217,1.13829,3.13844,1.54512,0.07045,0.85714,0.62187,0.36813,1.17059,3.62481,1.59593,0.000723321,0.000723321,0.000723321
