epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.6445,1.21508,3.62032,1.60062,0.21583,0.71429,0.47605,0.22415,1.00979,4.17756,1.59436,0.000213611,0.000213611,0.000213611
2,111.643,1.10619,3.47921,1.51003,0.08867,0.85714,0.47943,0.24629,1.21276,4.27013,1.74406,0.00046064,0.00046064,0.00046064
3,172.688,1.18159,3.26437,1.51756,0.06929,0.88095,0.45113,0.24142,1.22081,4.28931,1.73276,0.000697517,0.000697517,0.000697517
