epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
23,2051.11,0.9666,1.4136,1.35443,0.8579,0.66667,0.75392,0.41352,1.175,1.66623,1.70005,0.000434024,0.000434024,0.000434024
24,6402,1.0091,1.40524,1.35941,0.83932,0.66667,0.72086,0.40628,1.14656,1.71224,1.63625,0.000418797,0.000418797,0.000418797
25,6460.21,1.01511,1.41792,1.36645,0.87766,0.68336,0.74581,0.41112,1.14461,1.73486,1.61025,0.000403571,0.000403571,0.000403571
26,6531.76,0.93857,1.37337,1.34987,0.87745,0.68207,0.77866,0.45429,1.1452,1.70709,1.61051,0.000388345,0.000388345,0.000388345
27,6594.34,0.95004,1.34857,1.36774,0.85251,0.68818,0.79707,0.4663,1.18486,1.59079,1.66313,0.000373119,0.000373119,0.000373119
28,6718.44,0.95579,1.30198,1.35182,0.81459,0.7619,0.81552,0.46405,1.1625,1.59696,1.68482,0.000357893,0.000357893,0.000357893
29,6797.29,0.91642,1.27827,1.31992,0.88643,0.69048,0.78217,0.42701,1.19578,1.57425,1.79697,0.000342666,0.000342666,0.000342666
30,6846.06,0.86114,1.28732,1.27314,0.74129,0.75059,0.75931,0.42767,1.19027,1.52474,1.77629,0.00032744,0.00032744,0.00032744
31,6894.04,0.89491,1.28842,1.31131,0.89245,0.61905,0.79783,0.47827,1.1566,1.50815,1.69717,0.000312214,0.000312214,0.000312214
32,6943.01,0.86586,1.21436,1.26465,0.81429,0.73091,0.80165,0.48674,1.14035,1.48027,1.67641,0.000296988,0.000296988,0.000296988
33,6996.16,0.90561,1.2571,1.37996,0.87715,0.7381,0.78792,0.46718,1.145,1.50568,1.68146,0.000281762,0.000281762,0.000281762
34,7050.25,0.87875,1.27088,1.33338,0.8451,0.69048,0.74549,0.43217,1.15822,1.50634,1.7162,0.000266535,0.000266535,0.000266535
35,7106.16,0.87067,1.23673,1.27486,0.86645,0.66667,0.76264,0.43993,1.13899,1.49984,1.7031,0.000251309,0.000251309,0.000251309
36,7156.8,0.86496,1.26288,1.28838,0.86943,0.66667,0.76395,0.41212,1.14885,1.49091,1.70531,0.000236083,0.000236083,0.000236083
37,7209.77,0.82931,1.20951,1.25411,0.88714,0.69048,0.78529,0.43032,1.16814,1.52391,1.72166,0.000220857,0.000220857,0.000220857
38,7263.34,0.84272,1.24669,1.29256,0.95855,0.66667,0.8125,0.45015,1.14316,1.55118,1.69934,0.000205631,0.000205631,0.000205631
39,7322.61,0.72455,1.12814,1.21035,0.92504,0.71429,0.82367,0.45147,1.15591,1.54091,1.68924,0.000190404,0.000190404,0.000190404
40,7383.72,0.78681,1.09827,1.20975,0.91442,0.69048,0.79816,0.42215,1.17347,1.53246,1.73011,0.000175178,0.000175178,0.000175178
41,7437.46,0.79527,1.82154,1.29145,0.88551,0.73663,0.78872,0.41179,1.18182,1.57699,1.76329,0.000159952,0.000159952,0.000159952
42,7491,0.77592,1.7235,1.30913,0.89029,0.64286,0.74287,0.40346,1.18074,1.62709,1.79002,0.000144726,0.000144726,0.000144726
43,7542.87,0.78417,1.68097,1.25836,0.80447,0.68584,0.747,0.4117,1.18274,1.6153,1.7921,0.0001295,0.0001295,0.0001295
44,7600.18,0.75863,1.71015,1.25981,0.78939,0.66667,0.73071,0.40844,1.17932,1.60645,1.76788,0.000114273,0.000114273,0.000114273
45,7652.04,0.76475,1.64373,1.32522,0.78124,0.69048,0.72206,0.42748,1.15152,1.55937,1.72691,9.90472e-05,9.90472e-05,9.90472e-05
