epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,91.9945,1.26762,3.57598,1.68026,0.14978,0.80952,0.58551,0.32306,1.01732,3.94073,1.63812,0.000244682,0.000244682,0.000244682
2,186.347,1.28603,3.04867,1.65696,0.15556,0.83333,0.59231,0.28651,1.25309,3.59532,1.94107,0.000491095,0.000491095,0.000491095
3,277.06,1.2514,2.43396,1.59209,0.66017,0.30952,0.48941,0.2277,1.18649,3.43233,1.85882,0.000727357,0.000727357,0.000727357
4,379.153,1.3182,2.26544,1.72125,0.13944,0.83333,0.41448,0.18743,1.35287,3.35314,1.84007,0.000723321,0.000723321,0.000723321
5,473.203,1.17661,1.96283,1.49001,0.55324,0.45238,0.4889,0.20647,1.395,3.32397,1.94969,0.000708095,0.000708095,0.000708095
6,569.836,1.27126,1.91421,1.62194,0.56983,0.57143,0.59119,0.2252,1.40261,4.66673,1.86699,0.000692869,0.000692869,0.000692869
7,665.339,1.21477,1.94188,1.56243,0.82755,0.59524,0.67459,0.3387,1.3136,2.66325,1.71932,0.000677643,0.000677643,0.000677643
8,762.049,1.1932,1.89491,1.54333,0.63678,0.59524,0.65041,0.33836,1.29461,2.52746,1.70939,0.000662417,0.000662417,0.000662417
9,860.325,1.1987,1.79837,1.55094,0.67249,0.69048,0.70181,0.34268,1.25713,2.32839,1.6828,0.00064719,0.00064719,0.00064719
10,953.162,1.14478,1.81511,1.57789,0.73555,0.61905,0.70527,0.38142,1.3263,1.9723,1.79516,0.000631964,0.000631964,0.000631964
11,1060.06,1.22253,1.70775,1.5365,0.838,0.59524,0.71142,0.38465,1.30836,2.035,1.76838,0.000616738,0.000616738,0.000616738
12,1190.19,1.15978,1.66055,1.51372,0.70889,0.61905,0.66493,0.39203,1.22796,2.07503,1.74181,0.000601512,0.000601512,0.000601512
13,1300.92,1.09714,1.64836,1.46392,0.93774,0.52381,0.70508,0.39118,1.17805,1.945,1.77375,0.000586286,0.000586286,0.000586286
14,1398.48,1.12275,1.66393,1.47558,0.74814,0.66667,0.73815,0.37191,1.24991,1.83154,1.82343,0.000571059,0.000571059,0.000571059
15,1498.54,1.12841,1.62001,1.48485,0.83176,0.64286,0.69218,0.37088,1.2516,1.94783,1.77239,0.000555833,0.000555833,0.000555833
16,1611.46,0.92834,1.43304,1.35705,0.86312,0.66667,0.77213,0.44841,1.12581,1.76986,1.6786,0.000540607,0.000540607,0.000540607
17,1728.27,1.05765,1.51406,1.45742,0.92056,0.61905,0.77066,0.43972,1.17923,1.76561,1.74403,0.000525381,0.000525381,0.000525381
18,1784.03,1.0091,1.49059,1.42403,0.86959,0.63523,0.73335,0.39558,1.24107,1.95842,1.89904,0.000510155,0.000510155,0.000510155
19,1836.31,1.05008,1.60436,1.41583,0.82808,0.66667,0.73336,0.39158,1.27633,1.77703,1.94398,0.000494928,0.000494928,0.000494928
20,1892.65,0.97805,1.41025,1.38697,0.848,0.66422,0.70142,0.41153,1.22012,1.64969,1.81591,0.000479702,0.000479702,0.000479702
21,1948.89,1.0396,1.445,1.44222,0.8646,0.64286,0.76396,0.4084,1.16522,1.57531,1.69943,0.000464476,0.000464476,0.000464476
22,2004.71,1.01836,1.49177,1.45354,0.85211,0.68601,0.75493,0.43282,1.18624,1.619,1.68945,0.00044925,0.00044925,0.00044925
