epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.8031,1.28084,3.66316,1.66625,0.13953,0.85714,0.61284,0.33547,0.95289,3.94067,1.54449,0.000244682,0.000244682,0.000244682
2,140.87,1.21663,3.45717,1.56952,0.10028,0.85714,0.60968,0.31068,1.2077,3.92868,1.77217,0.000491095,0.000491095,0.000491095
3,254.493,1.23327,3.24772,1.59094,0.06977,0.85714,0.58503,0.28683,1.09924,3.75526,1.64224,0.000727357,0.000727357,0.000727357
4,367.909,1.20073,3.16071,1.56589,0.71738,0.38095,0.55278,0.26838,1.22423,3.60073,1.70481,0.000723321,0.000723321,0.000723321
5,476.846,1.16204,2.89187,1.50972,0.68888,0.58006,0.65999,0.35929,1.43875,2.88932,2.01031,0.000708095,0.000708095,0.000708095
